market,strategy,venue,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
local,pair_probability_top1,水沢,1175,1175,1.0,199,16.93617021276596,66.69787234042553,65.56595744680851,1330.0,0.016970779635064437
local,pair_probability_top1,浦和,1063,1063,1.0,198,18.626528692380056,83.03857008466603,81.2793979303857,1870.0,0.021185000566443866
local,pair_probability_top1,盛岡,994,994,1.0,169,17.002012072434606,69.79879275653923,67.24346076458752,2540.0,0.036609974055923894
local,pair_probability_top1,笠松,1534,1534,1.0,331,21.577574967405475,75.7496740547588,74.96088657105607,1210.0,0.010413080895008605
local,pair_probability_top1,船橋,1095,1095,1.0,182,16.621004566210047,70.9041095890411,69.59817351598174,1430.0,0.018418341061308605
local,pair_probability_top1,金沢,1388,1388,1.0,330,23.77521613832853,83.4077809798271,81.9164265129683,2070.0,0.017880279865250065
local,pair_probability_top1,門別,1380,1380,1.0,265,19.202898550724637,78.23913043478261,74.97826086956522,4500.0,0.04167824395665463
local,pair_probability_top1,高知,1826,1826,1.0,383,20.974808324205917,82.99561883899233,81.99342825848849,1830.0,0.012075222698779281
local,pair_probability_top2,佐賀,3854,1927,2.0,729,18.915412558380904,77.28853139595226,76.68655941878568,2320.0,0.007788632624970625
local,pair_probability_top2,名古屋,4400,2200,2.0,670,15.227272727272728,74.625,74.21818181818182,1790.0,0.005451499923861733
local,pair_probability_top2,園田,4716,2358,2.0,823,17.45122985581001,74.62468193384224,74.04156064461408,2750.0,0.007814053931179496
local,pair_probability_top2,大井,3400,1700,2.0,522,15.352941176470589,76.27352941176471,75.66764705882353,2060.0,0.007943546832221494
local,pair_probability_top2,姫路,1102,551,2.0,191,17.33212341197822,74.02903811252268,72.67695099818512,1490.0,0.01826428046089728
local,pair_probability_top2,川崎,2268,1134,2.0,314,13.844797178130511,69.44444444444444,68.64638447971781,1810.0,0.011492063492063493
local,pair_probability_top2,水沢,2350,1175,2.0,355,15.106382978723405,70.61276595744681,69.64255319148936,2280.0,0.01373990599011691
local,pair_probability_top2,浦和,2126,1063,2.0,347,16.32173095014111,81.21354656632172,80.33396048918156,1870.0,0.010830533997451638
local,pair_probability_top2,盛岡,1988,994,2.0,325,16.348088531187123,76.25251509054326,74.9748490945674,2540.0,0.01675572267299954
local,pair_probability_top2,笠松,3067,1534,1.9993481095176011,587,19.13922399739159,74.26149331594392,73.65503749592436,1860.0,0.008166491043203371
local,pair_probability_top2,船橋,2190,1095,2.0,343,15.662100456621006,76.68949771689498,75.82648401826484,1890.0,0.011253349211074725
local,pair_probability_top2,金沢,2776,1388,2.0,568,20.461095100864554,80.79971181556196,79.87031700288185,2580.0,0.011502452073116362
local,pair_probability_top2,門別,2760,1380,2.0,484,17.53623188405797,77.22101449275362,75.59057971014492,4500.0,0.021113874161309998
local,pair_probability_top2,高知,3652,1826,2.0,664,18.181818181818183,80.34501642935378,79.56736035049288,2840.0,0.009678958489537183
local,pair_probability_top3,佐賀,5779,1927,2.9989621172807475,991,17.148295552863818,80.29070773490223,79.67468420141893,3560.0,0.007672413793103449
local,pair_probability_top3,名古屋,6597,2200,2.9986363636363635,910,13.794148855540397,76.30438077914204,75.84659693800212,3020.0,0.005999443760181175
local,pair_probability_top3,園田,7062,2358,2.994910941475827,1089,15.42056074766355,73.43245539507221,72.12121212121212,9260.0,0.017856454163292068
local,pair_probability_top3,大井,5094,1700,2.996470588235294,688,13.506085590891246,74.14801727522575,73.55516293678838,3020.0,0.00799555214317863
local,pair_probability_top3,姫路,1650,551,2.9945553539019962,238,14.424242424242426,67.27272727272727,66.07272727272728,1980.0,0.01783783783783784
local,pair_probability_top3,川崎,3397,1134,2.995590828924162,422,12.42272593464822,69.04032970267883,68.30732999705623,2490.0,0.01061697863812732
local,pair_probability_top3,水沢,3524,1175,2.999148936170213,482,13.677639046538026,72.51702610669693,71.70261066969353,2870.0,0.011230678927802778
local,pair_probability_top3,浦和,3184,1063,2.995296331138288,466,14.6356783919598,79.18655778894473,78.48618090452261,2230.0,0.008844643636219411
local,pair_probability_top3,盛岡,2978,994,2.995975855130785,430,14.439220953660175,74.7951645399597,73.94224311618535,2540.0,0.01140343000808117
local,pair_probability_top3,笠松,4594,1534,2.9947848761408085,787,17.13104048759251,76.55202437962559,76.06660861993905,2230.0,0.006340991810737034
local,pair_probability_top3,船橋,3278,1095,2.9936073059360733,428,13.05674191580232,68.56314826113484,67.84929835265406,2340.0,0.010411568409343715
local,pair_probability_top3,金沢,4147,1388,2.9877521613832854,756,18.230045816252712,79.40197733301181,78.77984084880637,2580.0,0.00783527696793003
local,pair_probability_top3,門別,4137,1380,2.997826086956522,652,15.760212714527436,75.8278946096205,74.74014986705342,4500.0,0.014344915524386357
local,pair_probability_top3,高知,5469,1826,2.9950711938663748,891,16.291826659352715,79.07478515267873,78.55549460596087,2840.0,0.006567081348564029
local,independent_product_top1,佐賀,1927,1927,1.0,350,18.16294758692268,77.60768033212247,76.51790347690711,2100.0,0.014042126379137413
local,independent_product_top1,名古屋,2200,2200,1.0,300,13.636363636363635,74.26818181818182,73.12727272727273,2510.0,0.015362017259318196
local,independent_product_top1,園田,2358,2358,1.0,381,16.157760814249365,70.71246819338423,69.42748091603053,3030.0,0.018172004318100034
local,independent_product_top1,大井,1700,1700,1.0,237,13.941176470588236,73.95294117647059,71.05294117647058,4930.0,0.0392141266306077
local,independent_product_top1,姫路,551,551,1.0,93,16.878402903811253,77.47731397459165,74.39201451905626,1700.0,0.039821972358866246
local,independent_product_top1,川崎,1134,1134,1.0,144,12.698412698412698,75.39682539682539,72.1604938271605,3670.0,0.042923976608187135
local,independent_product_top1,水沢,1175,1175,1.0,171,14.553191489361703,74.74893617021277,72.72340425531915,2380.0,0.027097802573152682
local,independent_product_top1,浦和,1063,1063,1.0,173,16.27469426152399,81.63687676387582,79.66133584195673,2100.0,0.024199124222171006
local,independent_product_top1,盛岡,994,994,1.0,147,14.788732394366196,74.20523138832998,71.95171026156942,2240.0,0.03036876355748373
local,independent_product_top1,笠松,1534,1534,1.0,287,18.709256844850064,81.44067796610169,78.6245110821382,4320.0,0.03457936444408869
local,independent_product_top1,船橋,1095,1095,1.0,150,13.698630136986301,73.57077625570776,71.60730593607306,2150.0,0.026688182720953326
local,independent_product_top1,金沢,1388,1388,1.0,276,19.88472622478386,81.06628242074927,79.56051873198847,2090.0,0.018574475648773552
local,independent_product_top1,門別,1380,1380,1.0,241,17.46376811594203,81.60144927536231,78.89855072463769,3730.0,0.03312316845750821
local,independent_product_top1,高知,1826,1826,1.0,336,18.400876232201533,89.85213581599123,87.94085432639649,3490.0,0.021271408545133173
local,independent_product_top2,佐賀,3854,1927,2.0,644,16.709911779968863,75.61754021795537,75.0,2380.0,0.008166626634183166
local,independent_product_top2,名古屋,4400,2200,2.0,561,12.75,73.11818181818182,71.27272727272727,8120.0,0.025239338555265448
local,independent_product_top2,園田,4716,2358,2.0,707,14.991518235793045,74.81128074639525,72.84775233248516,9260.0,0.02624642158668972
local,independent_product_top2,大井,3400,1700,2.0,450,13.23529411764706,73.28823529411764,71.83823529411765,4930.0,0.01978489445380849
local,independent_product_top2,姫路,1102,551,2.0,159,14.42831215970962,70.98003629764065,68.2486388384755,3010.0,0.0384812068524674
local,independent_product_top2,川崎,2268,1134,2.0,269,11.860670194003527,70.90828924162257,69.29012345679013,3670.0,0.022820544708369604
local,independent_product_top2,水沢,2350,1175,2.0,307,13.063829787234043,71.24255319148936,70.22978723404255,2380.0,0.014215744833353243
local,independent_product_top2,浦和,2126,1063,2.0,304,14.299153339604892,80.15051740357478,78.63593603010348,3220.0,0.018896713615023476
local,independent_product_top2,盛岡,1988,994,2.0,274,13.782696177062373,72.32897384305835,71.20221327967806,2240.0,0.015578273871618331
local,independent_product_top2,笠松,3067,1534,1.9993481095176011,516,16.82425823280078,80.5053798500163,79.07075317900228,4400.0,0.01782025839374671
