sort_order,rule_id,family,family_label,rule,condition_count,ev_min_exclusive,ai_prob_min_inclusive,odds_min_inclusive,odds_max_inclusive,bet_type,folds,train_sufficient_folds,valid_sufficient_folds,oos_sufficient_folds,oos_n,oos_unique_races,oos_hits,oos_hit_rate,oos_hit_wilson_lb,oos_payout,oos_roi,oos_profit,oos_roi_over_100_folds,oos_roi_over_100_fold_rate,oos_positive_profit_folds,oos_negative_profit_folds,oos_median_fold_n,oos_min_fold_n,oos_max_fold_n,oos_median_fold_roi,oos_min_fold_roi,oos_max_fold_roi,median_valid_oos_roi_gap,oos_max_payout,oos_max_payout_share,oos_max_payout_fold,oos_max_payout_date,oos_max_payout_race_id,oos_roi_without_max_payout,oos_profit_without_max_payout,selection_basis,baseline_oos_roi,oos_roi_vs_baseline,max_payout_dependent,stable_candidate
40,R040,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.35,2,1.2,0.35,,,単勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,76.48,-76.48,False,False
40,R040,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.35,2,1.2,0.35,,,複勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,83.15,-83.15,False,False
41,R041,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.4,2,1.2,0.4,,,単勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,76.48,-76.48,False,False
41,R041,D,EV+AI勝率,EV > 1.2 AND AI勝率 >= 0.4,2,1.2,0.4,,,複勝,8,0,0,0,1,1,0,0.0,0.0,0,0.0,-100,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,,0,,8.0,2026-05-17,202608030803,,0,fixed_predeclared,83.15,-83.15,False,False
42,R042,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.2,2,1.25,0.2,,,単勝,8,0,0,0,3,3,0,0.0,0.0,0,0.0,-300,0,0.0,0,2,0.0,0,2,0.0,0.0,0.0,145.0,0,,1.0,2024-07-14,202402011209,0.0,-200,fixed_predeclared,76.48,-76.48,False,False
42,R042,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.2,2,1.25,0.2,,,複勝,8,0,0,0,3,3,3,100.0,0.4385,920,306.67,620,2,25.0,2,0,0.0,0,2,355.0,210.0,500.0,195.0,500,54.35,2.0,2024-12-08,202407040403,210.0,220,fixed_predeclared,83.15,223.52,True,False
43,R043,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.25,2,1.25,0.25,,,単勝,8,0,0,0,2,2,0,0.0,0.0,0,0.0,-200,0,0.0,0,1,0.0,0,2,0.0,0.0,0.0,290.0,0,,1.0,2024-07-14,202402011209,0.0,-100,fixed_predeclared,76.48,-76.48,False,False
43,R043,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.25,2,1.25,0.25,,,複勝,8,0,0,0,2,2,2,100.0,0.3424,420,210.0,220,1,12.5,1,0,0.0,0,2,210.0,210.0,210.0,100.0,220,52.38,1.0,2024-07-14,202402011209,200.0,100,fixed_predeclared,83.15,126.85,True,False
44,R044,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.3,2,1.25,0.3,,,単勝,8,0,0,0,0,0,0,0.0,0.0,0,,0,0,0.0,0,0,0.0,0,0,,,,,0,,,,,,0,fixed_predeclared,76.48,,False,False
44,R044,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.3,2,1.25,0.3,,,複勝,8,0,0,0,0,0,0,0.0,0.0,0,,0,0,0.0,0,0,0.0,0,0,,,,,0,,,,,,0,fixed_predeclared,83.15,,False,False
45,R045,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.35,2,1.25,0.35,,,単勝,8,0,0,0,0,0,0,0.0,0.0,0,,0,0,0.0,0,0,0.0,0,0,,,,,0,,,,,,0,fixed_predeclared,76.48,,False,False
45,R045,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.35,2,1.25,0.35,,,複勝,8,0,0,0,0,0,0,0.0,0.0,0,,0,0,0.0,0,0,0.0,0,0,,,,,0,,,,,,0,fixed_predeclared,83.15,,False,False
46,R046,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.4,2,1.25,0.4,,,単勝,8,0,0,0,0,0,0,0.0,0.0,0,,0,0,0.0,0,0,0.0,0,0,,,,,0,,,,,,0,fixed_predeclared,76.48,,False,False
46,R046,D,EV+AI勝率,EV > 1.25 AND AI勝率 >= 0.4,2,1.25,0.4,,,複勝,8,0,0,0,0,0,0,0.0,0.0,0,,0,0,0.0,0,0,0.0,0,0,,,,,0,,,,,,0,fixed_predeclared,83.15,,False,False
